Date,cases_daily,cases_total,prevalence,incidence_daily,deaths_daily,deaths_total,mortality,cases_weekly,deaths_weekly,incidence_weekly
2020-03-04,2413,93077,1.2412945368691815e-05,3.218027780724921e-07,84,3202,0.034401624461467384,0,0,0.0
2020-03-05,2239,95316,1.271154313914532e-05,2.9859777045350594e-07,80,3282,0.03443283394183558,0,0,0.0
2020-03-06,2856,98172,1.30924253331673e-05,3.808821940219799e-07,103,3385,0.03448029988184004,0,0,0.0
2020-03-07,3961,102133,1.3620672661781117e-05,5.282473286138174e-07,103,3488,0.03415154749199573,18768,631,2.502940132144439e-06
2020-03-08,3691,105824,1.4112912219951681e-05,4.92239558170563e-07,97,3585,0.03387700332627759,0,0,0.0
2020-03-09,3871,109695,1.4629156958417746e-05,5.162447384660659e-07,229,3814,0.034769132594922286,0,0,0.0
2020-03-10,4537,114232,1.5234220863977174e-05,6.050639055594268e-07,209,4023,0.03521780236711254,0,0,0.0
2020-03-11,4378,118610,1.5818080193608905e-05,5.838593296317325e-07,269,4292,0.036185819070904644,0,0,0.0
2020-03-12,6887,125497,1.67365450641374e-05,9.184648705284929e-07,326,4618,0.036797692375116535,0,0,0.0
2020-03-13,8355,133852,1.785078551618699e-05,1.1142404520495945e-06,351,4969,0.03712309117532797,0,0,0.0
2020-03-14,9375,143227,1.9101055323244438e-05,1.2502698070574445e-06,438,5407,0.03775126198272672,45055,2022,6.008629990077138e-06
2020-03-15,8140,151367,2.0186622921052183e-05,1.0855675978077439e-06,354,5761,0.03805981488699651,0,0,0.0
2020-03-16,16051,167418,2.232721819284728e-05,2.1405952717950977e-06,745,6506,0.03886081544397854,0,0,0.0
2020-03-17,12678,180096,2.4017983058327203e-05,1.6907648654799233e-06,596,7102,0.03943452380952381,0,0,0.0
2020-03-18,14740,194836,2.598374060030339e-05,1.9657575419761846e-06,789,7891,0.0405007288180829,0,0,0.0
2020-03-19,18314,213150,2.8426134333258057e-05,2.4423937329546708e-06,951,8842,0.0414825240441004,0,0,0.0
2020-03-20,29214,242364,3.2322175095218184e-05,3.896040761960127e-06,1041,9883,0.04077750821079038,0,0,0.0
2020-03-21,28742,271106,3.615526893995899e-05,3.833093844740807e-06,1366,11249,0.04149299535974858,137254,6280,1.8304483423771997e-05
2020-03-22,34011,305117,4.0691047756794274e-05,4.53577881683528e-06,1690,12939,0.04240668333786711,0,0,0.0
2020-03-23,33016,338133,4.509413127144052e-05,4.403083514646249e-06,1660,14599,0.04317531858765634,0,0,0.0
2020-03-24,39785,377918,5.0399942927310434e-05,5.305811655869913e-06,1764,16363,0.04329775242248318,0,0,0.0
2020-03-25,38927,416845,5.559132989043845e-05,5.191386963128015e-06,2200,18563,0.04453214024397558,0,0,0.0
2020-03-26,51204,468049,6.242000351183252e-05,6.828673621394068e-06,2426,20989,0.04484359543552064,0,0,0.0
2020-03-27,59718,527767,7.038412216120388e-05,7.964118649371358e-06,2681,23670,0.04484933692330138,0,0,0.0
2020-03-28,63937,591704,7.891089556427927e-05,8.526773403075396e-06,3318,26988,0.04561064315941755,349340,17105,4.658872046906109e-05
2020-03-29,65162,656866,8.760103755547684e-05,8.690141991197567e-06,3461,30449,0.04635496433062451,0,0,0.0
2020-03-30,58487,715353,9.54009874440495e-05,7.799949888572668e-06,3125,33574,0.04693347200612844,0,0,0.0
2020-03-31,62443,777796,0.00010372851785067222,8.327530406622722e-06,3697,37271,0.04791873447536372,0,0,0.0
2020-04-01,73512,851308,0.00011353223348335563,9.803715632683398e-06,4614,41885,0.04920075930215621,0,0,0.0
2020-04-02,77128,928436,0.00012381818651575313,1.0285953032397502e-05,4998,46883,0.05049674937206226,0,0,0.0
2020-04-03,71813,1000249,0.00013339531991886952,9.577133403116402e-06,4631,51514,0.051501176207124424,0,0,0.0
2020-04-04,81805,1082054,0.00014430500755261184,1.090968763374232e-05,6628,58142,0.05373299299295599,554287,34472,7.392088539140797e-05
